,price,review_scores_value,room_type,instant_bookable,host_identity_verified,number_of_reviews,beds,bath,bedrooms,reviews_per_month,neighbourhood_cleansed,property_type,availability_30,availability_60,availability_90,availability_365,profit_per_bed
2766,18.49568434032059,4.99,Private room,f,t,83,1.0,1  ,1.0,1.63,Providencia,Private room in hostel,18,48,78,353,18.49568434032059
2767,67.81750924784217,4.27,Entire home/apt,t,t,73,1.0,1.5 ,1.0,1.42,Lo Barnechea,Entire cabin,28,55,85,360,67.81750924784217
2768,14.796547472256474,5.0,Private room,f,t,3,1.0,1  ,,0.06,Ñuñoa,Private room in rental unit,24,54,83,83,14.796547472256474
2769,29.013563501849568,,Private room,f,t,0,2.0,1  ,1.0,,Ñuñoa,Private room in rental unit,0,0,0,0,14.506781750924784
2770,158.53390875462392,4.8,Private room,t,t,6,1.0,1  ,1.0,0.12,Santiago,Private room in rental unit,30,60,90,90,158.53390875462392
2771,16.029593094944513,,Private room,t,f,0,1.0,1  ,1.0,,Las Condes,Private room in rental unit,23,53,83,83,16.029593094944513
2772,36.99136868064118,,Shared room,t,f,0,1.0,1  ,1.0,,Las Condes,Shared room in residential home,30,60,90,90,36.99136868064118
2773,73.98273736128236,4.36,Entire home/apt,f,t,48,2.0,2 ,2.0,0.93,Providencia,Entire rental unit,1,27,57,320,36.99136868064118
2774,66.93711467324292,4.66,Entire home/apt,t,t,47,2.0,1 ,1.0,0.98,Las Condes,Entire rental unit,20,50,80,355,33.46855733662146
2775,30.826140567200987,,Entire home/apt,t,f,0,2.0,1 ,1.0,,Santiago,Entire rental unit,0,0,23,23,15.413070283600494
2776,16.733662145499384,4.86,Private room,f,f,49,1.0,1  ,1.0,0.97,Santiago,Private room in rental unit,27,57,87,362,16.733662145499384
2777,80.14796547472257,4.67,Entire home/apt,t,t,12,2.0,2 ,2.0,0.23,Vitacura,Entire rental unit,0,0,24,299,40.073982737361284
2778,184.9568434032059,,Entire home/apt,f,t,1,6.0,1.5 ,2.0,0.02,Lo Barnechea,Entire rental unit,0,0,0,0,30.826140567200984
2779,41.394574599260174,4.62,Entire home/apt,f,t,13,2.0,2 ,1.0,0.27,Las Condes,Entire rental unit,2,27,57,57,20.697287299630087
2780,36.99136868064118,,Private room,t,f,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,30,60,90,365,36.99136868064118
2781,31.83600493218249,4.77,Entire home/apt,f,f,69,1.0,1 ,1.0,1.4,Ñuñoa,Entire rental unit,0,4,25,282,31.83600493218249
2782,49.32182490752158,,Entire home/apt,t,t,0,1.0,1 ,1.0,,Santiago,Entire rental unit,0,0,0,147,49.32182490752158
2783,43.15659679408138,5.0,Entire home/apt,t,t,1,1.0,1 ,1.0,0.08,Santiago,Entire rental unit,0,0,0,178,43.15659679408138
2784,24.04438964241677,,Private room,t,t,1,1.0,1  ,,0.04,Las Condes,Private room in residential home,30,60,90,364,24.04438964241677
2785,75.13070283600493,,Entire home/apt,t,t,0,1.0,1 ,1.0,,Santiago,Entire rental unit,0,0,0,0,75.13070283600493
2786,47.55980271270037,4.8,Entire home/apt,t,t,96,4.0,2 ,2.0,1.88,Providencia,Entire rental unit,5,23,53,143,11.889950678175092
2787,24.041923551171397,,Private room,f,t,0,1.0,1  ,1.0,,Providencia,Private room in rental unit,29,59,89,89,24.041923551171397
2788,22.81134401972873,4.38,Entire home/apt,t,t,70,1.0,1.5 ,1.0,1.36,Santiago,Entire rental unit,0,0,0,219,22.81134401972873
2789,10.128236744759556,5.0,Shared room,t,f,3,1.0,4  ,1.0,0.06,Renca,Shared room in condominium (condo),30,60,90,365,10.128236744759556
2790,67.81750924784217,5.0,Entire home/apt,t,t,7,2.0,2 ,2.0,0.97,Las Condes,Entire place,0,0,0,208,33.908754623921084
2791,18.49568434032059,4.91,Private room,f,t,54,1.0,1  ,1.0,1.06,Santiago,Private room in condominium (condo),0,0,0,267,18.49568434032059
2792,43.15659679408138,,Private room,t,f,1,1.0,3  ,1.0,0.02,Providencia,Private room in rental unit,30,60,90,90,43.15659679408138
2793,70.12207151664612,4.65,Entire home/apt,f,t,23,3.0,1 ,1.0,0.46,Santiago,Entire rental unit,30,60,90,365,23.37402383888204
2794,18.49568434032059,4.79,Private room,f,f,24,1.0,1.5 ,1.0,0.47,Providencia,Private room in rental unit,29,59,89,268,18.49568434032059
2795,30.826140567200987,,Private room,f,f,0,1.0,1  ,1.0,,Providencia,Private room in rental unit,28,58,88,363,30.826140567200987
2796,49.32182490752158,,Private room,f,f,0,1.0,1  ,1.0,,Las Condes,Private room in residential home,28,58,88,178,49.32182490752158
2797,27.743526510480887,,Private room,t,t,1,2.0,1  ,1.0,0.03,Santiago,Private room in rental unit,29,59,89,179,13.871763255240444
2798,35.75832305795314,4.79,Entire home/apt,t,t,146,1.0,1 ,1.0,2.85,Santiago,Entire rental unit,0,0,0,0,35.75832305795314
2799,36.033292231812574,4.83,Entire home/apt,f,t,132,1.0,1 ,1.0,2.57,Las Condes,Entire rental unit,9,39,68,68,36.033292231812574
2800,22.19482120838471,,Private room,t,t,1,1.0,1  ,1.0,0.02,Providencia,Private room in rental unit,29,59,89,364,22.19482120838471
2801,45.07891491985203,4.89,Entire home/apt,f,t,55,1.0,1 ,1.0,1.09,Santiago,Entire rental unit,30,60,90,365,45.07891491985203
2802,36.30579531442663,4.83,Entire home/apt,f,t,144,1.0,1 ,1.0,2.81,Las Condes,Entire rental unit,19,49,79,258,36.30579531442663
2803,59.10234278668311,,Entire home/apt,t,f,0,1.0,1 ,1.0,,Providencia,Entire rental unit,27,57,87,362,59.10234278668311
